fid,latitude,longitude,TOTAL_SCORE,cluster
4246,42.28776676,-71.04794376,58,80
4247,42.28784876,-71.0474491,60,80
4248,42.28686365,-71.04619964,51,80
4249,42.28682196,-71.04636889,51,80
4250,42.28669182,-71.04710239,75,80
4251,42.28633697,-71.04717714,71,201
4252,42.28648118,-71.04637741,61,201
4253,42.28620383,-71.04608039,51,201
4254,42.28606007,-71.04661976,51,201
4255,42.28566486,-71.04789963,51,201
4256,42.28560038,-71.0483529,51,201
4257,42.28554885,-71.04855199,51,201
4258,42.28549689,-71.0487505,60,201
4259,42.28544941,-71.04893374,57,201
4260,42.28540246,-71.04912054,57,201
4261,42.2852216,-71.04963088,61,201
4262,42.28514929,-71.05010541,60,201
4263,42.28524294,-71.05076382,61,200
4264,42.28548504,-71.05025705,68,200
4265,42.28547605,-71.04998185,51,200
4266,42.28574859,-71.04919974,57,200
4267,42.2859493,-71.04870532,51,200
4268,42.28621385,-71.04773401,51,201
4269,42.28375763,-71.05292825,51,202
4270,42.28364068,-71.05288449,51,202
4271,42.2832352,-71.05341422,60,202
4272,42.28386904,-71.05252872,51,202
4273,42.28404292,-71.05264961,51,202
4274,42.28428877,-71.05183675,57,202
4275,42.28428668,-71.0516085,61,202
4276,42.28423628,-71.05132135,61,202
4277,42.28425031,-71.05069726,51,201
4278,42.28464931,-71.05032583,51,201
4279,42.28483076,-71.04967224,61,201
4280,42.28487149,-71.04952027,61,201
4281,42.28450657,-71.04943352,61,201
4282,42.2843952,-71.04938213,61,201
4283,42.28425144,-71.04931464,51,201
4284,42.28423396,-71.04885629,61,201
4285,42.2844817,-71.04890728,51,201
4286,42.28459441,-71.04895656,51,201
4287,42.28450557,-71.04815565,51,201
4288,42.28476156,-71.04782596,61,201
4289,42.28422217,-71.04718546,57,201
4290,42.28463675,-71.04728428,62,201
4291,42.28497822,-71.04736363,51,201
4292,42.28525966,-71.04751941,51,201
4293,42.28488191,-71.04691499,58,201
4294,42.28299528,-71.04796051,61,84
4295,42.28563843,-71.04670065,51,201
4296,42.28577564,-71.0462089,61,201
4297,42.28580893,-71.04608706,84,201
4298,42.28582919,-71.04601209,84,201
4299,42.2856497,-71.04592417,84,201
4300,42.28564031,-71.04600228,83,201
4301,42.28552211,-71.04590509,83,201
4302,42.28538286,-71.04583512,85,201
4303,42.28531506,-71.04582631,84,201
4304,42.28517968,-71.04547167,84,201
4305,42.28525102,-71.04550777,84,201
4306,42.28527145,-71.04555977,84,201
4307,42.28531369,-71.04558336,73,201
4308,42.28546856,-71.04561979,83,201
4309,42.28565723,-71.04571691,51,201
4310,42.2858917,-71.04567751,61,201
4311,42.28547408,-71.04541732,57,201
4312,42.28578472,-71.04520546,67,201
4313,42.28615283,-71.04484131,51,201
4314,42.28620752,-71.04464154,51,201
4315,42.28278358,-71.04846957,51,84
4316,42.28202299,-71.04862332,76,84
4317,42.28064495,-71.04967649,52,83
4318,42.28079364,-71.0494277,57,83
4319,42.28099618,-71.04881909,56,83
4320,42.28021395,-71.04967407,51,83
4321,42.2801463,-71.04983362,51,83
4322,42.28034254,-71.04981663,57,83
4323,42.27938843,-71.05058458,51,83
4324,42.27946745,-71.0503575,51,83
4325,42.28032928,-71.04870139,51,83
4326,42.2797104,-71.05420594,57,83
4327,42.27983008,-71.05425745,51,83
4328,42.28029821,-71.05445679,56,83
4329,42.2803315,-71.05424292,51,83
4330,42.28032361,-71.05408379,51,83
4331,42.2796626,-71.05386911,53,83
4332,42.27930743,-71.05371247,64,83
4333,42.28047314,-71.0534744,51,83
4334,42.28021334,-71.05327431,51,83
4335,42.28011048,-71.05322961,66,83
4336,42.27958875,-71.05252145,56,83
4337,42.27980815,-71.0525892,61,83
4338,42.28002525,-71.0526543,56,83
4339,42.28023959,-71.05272133,51,83
4340,42.28037648,-71.05268144,55,83
4341,42.28042391,-71.05288642,51,83
4342,42.28061151,-71.05289243,51,83
4343,42.28064519,-71.05275295,51,83
4344,42.28049284,-71.05260622,51,83
4345,42.28010076,-71.05236836,51,83
4346,42.27977174,-71.05226607,51,83
4347,42.27966457,-71.05223268,51,83
4348,42.27965248,-71.0517778,51,83
4349,42.27974654,-71.05181873,51,83
4350,42.27985959,-71.05186791,51,83
4351,42.27996629,-71.05191435,51,83
4352,42.28006616,-71.05195781,51,83
4353,42.28018011,-71.05200738,52,83
4354,42.28044216,-71.05212139,52,83
4355,42.28058937,-71.05218546,52,83
4356,42.28080939,-71.05206259,51,83
4357,42.28084194,-71.05193029,51,83
4358,42.28034353,-71.05178762,51,83
4359,42.27998978,-71.05163405,51,83
4360,42.27971675,-71.05151551,51,83
4361,42.27955002,-71.05141133,51,83
4362,42.27950777,-71.05161365,61,83
4363,42.27963858,-71.0510787,51,83
4364,42.27980956,-71.05110797,51,83
4365,42.28002048,-71.05120004,51,83
4366,42.28023093,-71.05129173,51,83
4367,42.28032799,-71.05133402,51,83
4368,42.28044114,-71.0513833,51,83
4369,42.28054634,-71.05142915,51,83
4370,42.28075432,-71.05151976,51,83
4371,42.28091442,-71.05162869,51,83
4372,42.28097101,-71.05139601,51,83
4373,42.28098709,-71.05125562,51,83
4374,42.2805693,-71.05114726,51,83
4375,42.2802834,-71.05102297,51,83
4376,42.2801546,-71.05096698,51,83
4377,42.28002623,-71.05091117,51,83
4378,42.27987453,-71.05084387,51,83
4379,42.27988669,-71.05044698,51,83
4380,42.28020527,-71.05054163,51,83
4381,42.28067251,-71.05074347,51,83
4382,42.28079059,-71.05079449,51,83
4383,42.28106961,-71.05096941,51,83
4384,42.28115281,-71.05062025,51,83
4385,42.28085216,-71.05053384,51,83
4386,42.28073299,-71.05048183,51,83
4387,42.28049804,-71.0503793,51,83
4388,42.28038173,-71.05032855,51,83
4389,42.28014776,-71.05022646,51,83
4390,42.28272151,-71.05205811,51,84
4391,42.28245061,-71.05194075,51,84
4392,42.28231336,-71.05188128,51,84
4393,42.28218006,-71.05182365,51,84
4394,42.28204575,-71.05176596,51,84
4395,42.28190697,-71.05170635,51,84
4396,42.28176842,-71.05164673,51,84
4397,42.28163247,-71.05158832,51,84
4398,42.28148514,-71.05152498,51,84
4399,42.28130758,-71.0515439,51,84
4400,42.28128481,-71.0516819,51,84
4401,42.28145821,-71.05182566,51,84
4402,42.28173632,-71.05194487,51,84
4403,42.28199624,-71.05205619,51,84
4404,42.2822587,-71.05216884,51,84
4405,42.28239524,-71.05222785,51,84
4406,42.2825272,-71.05228545,51,84
4407,42.28314256,-71.05056,51,84
4408,42.28302232,-71.05054489,51,84
4409,42.28289986,-71.05052949,52,84
4410,42.28263669,-71.05049641,51,84
4411,42.28255653,-71.05048634,51,84
4412,42.28242127,-71.05046934,51,84
4413,42.28222065,-71.05044412,51,84
4414,42.28182844,-71.05039652,61,84
4415,42.28152057,-71.0503599,51,84
4416,42.28146397,-71.05071376,51,84
4417,42.28139578,-71.05103444,51,84
4418,42.28157592,-71.05065254,57,84
